first,last,addr,city,state,zip,date,prod_id,prod_desc,unit_price,qty
Captain Antilles,Johnston,5491 Strawberry Lane,Pittsburgh,PA,15234,2019-11-01,321,Axe,27.99,7
Captain Antilles,Johnston,5491 Strawberry Lane,Pittsburgh,PA,15234,2019-11-01,308,Screwdriver,3.0,6
Tey How,Gordon,5972 9th Street West,West Rutland,VT,05777,2019-11-01,328,Workbench,300.0,7
Tey How,Gordon,5972 9th Street West,West Rutland,VT,05777,2019-11-01,301,Nail,0.25,6
Taun We,Adams,6097 Heather Lane,Douglas,AK,99824,2019-11-02,310,Scraper,7.99,3
Taun We,Adams,6097 Heather Lane,Douglas,AK,99824,2019-11-02,329,Chainsaw,499.99,1
Taun We,Adams,6097 Heather Lane,Douglas,AK,99824,2019-11-02,305,Bradawl,1.99,5
Taun We,Adams,6097 Heather Lane,Douglas,AK,99824,2019-11-02,303,Screw,0.5,3
Taun We,Adams,6097 Heather Lane,Douglas,AK,99824,2019-11-02,312,Plane,10.99,4
Taun We,Adams,6097 Heather Lane,Douglas,AK,99824,2019-11-02,314,Mallet,12.0,7
Taun We,Adams,6097 Heather Lane,Douglas,AK,99824,2019-11-02,304,Bolt,1.0,4
Taun We,Adams,6097 Heather Lane,Douglas,AK,99824,2019-11-02,308,Screwdriver,3.0,1
Taun We,Adams,6097 Heather Lane,Douglas,AK,99824,2019-11-02,318,Hacksaw,19.99,3
Obi-Wan,Chen,2756 Heather Lane,Belfast,TN,37019,2019-11-02,312,Plane,10.99,3
Obi-Wan,Chen,2756 Heather Lane,Belfast,TN,37019,2019-11-02,322,Monkeywrench,29.95,1
Obi-Wan,Chen,2756 Heather Lane,Belfast,TN,37019,2019-11-02,329,Chainsaw,499.99,5
Obi-Wan,Chen,2756 Heather Lane,Belfast,TN,37019,2019-11-02,302,Nut,0.25,3
Obi-Wan,Chen,2756 Heather Lane,Belfast,TN,37019,2019-11-02,327,Ladder,80.0,4
Obi-Wan,Chen,2756 Heather Lane,Belfast,TN,37019,2019-11-02,309,Chisel,4.99,7
Obi-Wan,Chen,2756 Heather Lane,Belfast,TN,37019,2019-11-02,325,Toolbox,50.0,4
Obi-Wan,Chen,2756 Heather Lane,Belfast,TN,37019,2019-11-02,307,Sandpaper,3.0,1
