first,last,addr,city,state,zip,date,prod_id,prod_desc,unit_price,qty
Snap,Ingram,6563 Jackson Avenue,Judith Gap,MT,59453,2019-12-01,306,Clamp,2.99,1
Snap,Ingram,6563 Jackson Avenue,Judith Gap,MT,59453,2019-12-01,314,Mallet,12.0,9
Rieekan,Alvarez,1387 Route 1,Grand Junction,CO,81505,2019-12-01,315,Pliers,15.99,1
Rieekan,Alvarez,1387 Route 1,Grand Junction,CO,81505,2019-12-01,310,Scraper,7.99,9
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,307,Sandpaper,3.0,3
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,324,Wire,37.0,7
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,302,Nut,0.25,2
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,306,Clamp,2.99,7
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,325,Toolbox,50.0,8
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,319,Paint,19.99,1
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,328,Workbench,300.0,2
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,314,Mallet,12.0,7
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,321,Axe,27.99,8
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,312,Plane,10.99,1
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,313,Wrench,11.0,6
Bala-Tik,Rodriguez,7381 3rd Street,Wagner,SD,57380,2019-12-02,329,Chainsaw,499.99,8
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,319,Paint,19.99,3
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,327,Ladder,80.0,7
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,317,Level,16.99,2
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,321,Axe,27.99,7
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,318,Hacksaw,19.99,8
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,307,Sandpaper,3.0,1
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,328,Workbench,300.0,2
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,322,Monkeywrench,29.95,7
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,308,Screwdriver,3.0,8
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,311,Hammer,8.27,1
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,324,Wire,37.0,6
Motti,Thornton,7510 Lexington Court,Arlington,VA,22203,2019-12-02,326,Drill,69.0,8
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,310,Scraper,7.99,3
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,311,Hammer,8.27,7
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,301,Nail,0.25,2
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,329,Chainsaw,499.99,7
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,314,Mallet,12.0,8
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,305,Bradawl,1.99,1
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,321,Axe,27.99,2
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,313,Wrench,11.0,7
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,303,Screw,0.5,8
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,324,Wire,37.0,1
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,307,Sandpaper,3.0,6
Orn Free Taa,Rivera,4716 Jackson Avenue,Bethany,CT,06524,2019-12-02,320,Saw,20.99,8
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,305,Bradawl,1.99,3
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,316,Anvil,16.2,7
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,314,Mallet,12.0,2
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,309,Chisel,4.99,7
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,320,Saw,20.99,8
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,301,Nail,0.25,1
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,319,Paint,19.99,2
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,328,Workbench,300.0,7
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,308,Screwdriver,3.0,8
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,313,Wrench,11.0,1
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,317,Level,16.99,6
Lama Su,Vincent,2049 Route 44,Salome,AZ,85348,2019-12-02,312,Plane,10.99,8
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,324,Wire,37.0,3
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,325,Toolbox,50.0,7
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,305,Bradawl,1.99,2
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,314,Mallet,12.0,7
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,310,Scraper,7.99,8
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,320,Saw,20.99,1
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,319,Paint,19.99,2
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,326,Drill,69.0,7
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,321,Axe,27.99,8
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,307,Sandpaper,3.0,1
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,311,Hammer,8.27,6
Jobal,Mitchell,1198 West Avenue,Falkner,MS,38629,2019-12-02,300,Washer,0.1,8
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,329,Chainsaw,499.99,3
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,318,Hacksaw,19.99,7
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,321,Axe,27.99,2
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,312,Plane,10.99,7
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,309,Chisel,4.99,8
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,300,Washer,0.1,1
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,303,Screw,0.5,2
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,320,Saw,20.99,7
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,326,Drill,69.0,8
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,317,Level,16.99,1
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,327,Ladder,80.0,6
Bib Fortuna,Zhang,9177 West Avenue,Belen,NM,87002,2019-12-02,306,Clamp,2.99,8
Bala-Tik,Schmidt,3353 Front Street,New Britain,CT,06053,2019-12-02,300,Washer,0.1,3
Bala-Tik,Schmidt,3353 Front Street,New Britain,CT,06053,2019-12-02,329,Chainsaw,499.99,7
Bala-Tik,Schmidt,3353 Front Street,New Britain,CT,06053,2019-12-02,328,Workbench,300.0,2
Bala-Tik,Schmidt,3353 Front Street,New Britain,CT,06053,2019-12-02,311,Hammer,8.27,7
Bala-Tik,Schmidt,3353 Front Street,New Britain,CT,06053,2019-12-02,322,Monkeywrench,29.95,8
Bala-Tik,Schmidt,3353 Front Street,New Britain,CT,06053,2019-12-02,307,Sandpaper,3.0,1
Bala-Tik,Schmidt,3353 Front Street,New Britain,CT,06053,2019-12-02,320,Saw,20.99,2
Bala-Tik,Schmidt,3353 Front Street,New Britain,CT,06053,2019-12-02,301,Nail,0.25,7
Bala-Tik,Schmidt,3353 Front Street,New Britain,CT,06053,2019-12-02,306,Clamp,2.99,8
